"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Adaptive Aggregation For Federated Learning","K. R. Jayaram; V. Muthusamy; G. Thomas; A. Verma; M. Purcell","IBM Research, USA; IBM Research, USA; IBM Research, USA; IBM Research, USA; IBM Research, Ireland",2022 IEEE International Conference on Big Data (Big Data),"26 Jan 2023","2022","","","180","185","In this paper, we present a new scalable and adaptive architecture for FL aggregation. First, we demonstrate how traditional tree overlay based aggregation techniques (from P2P, publish-subscribe and stream processing research) can help FL aggregation scale, but are ineffective from a resource utilization and cost standpoint. Next, we present the design and implementation of AdaFed, which uses serverless/cloud functions to adaptively scale aggregation in a resource efficient and fault tolerant manner. We describe how AdaFed enables FL aggregation to be dynamically deployed only when necessary, elastically scaled to handle participant joins/leaves and is fault tolerant with minimal effort required on the (aggregation) programmer side. We also demonstrate that our prototype based on Ray [1] scales to thousands of participants, and is able to achieve a > 90% reduction in resource requirements and cost, with minimal impact on aggregation latency.","","978-1-6654-8045-1","10.1109/BigData55660.2022.10021119","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10021119","federated learning;serverless;adaptive;aggregation","Fault tolerance;Costs;Federated learning;Fault tolerant systems;Prototypes;Publish-subscribe;Big Data","","15","","25","IEEE","26 Jan 2023","","","IEEE","IEEE Conferences"
"Addressing the Fragmentation Problem in Distributed and Decentralized Edge Computing: A Vision","K. Bhardwaj; A. Gavrilovska; V. Kolesnikov; M. Saunders; H. Yoon; M. Bondre; M. Babu; J. Walsh","College of Computing, Georgia Institute of Technology, Atlanta, GA; College of Computing, Georgia Institute of Technology, Atlanta, GA; College of Computing, Georgia Institute of Technology, Atlanta, GA; College of Computing, Georgia Institute of Technology, Atlanta, GA; College of Computing, Georgia Institute of Technology, Atlanta, GA; College of Computing, Georgia Institute of Technology, Atlanta, GA; College of Computing, Georgia Institute of Technology, Atlanta, GA; College of Computing, Georgia Institute of Technology, Atlanta, GA",2019 IEEE International Conference on Cloud Engineering (IC2E),"8 Aug 2019","2019","","","156","167","At the core of the value proposition of edge computing is the ability to put computation close enough to the data sources, on demand. However, the data sources, computational infrastructure and software services needed to come together to power emerging and future edge computing applications are fragmented across different stakeholders, each with their own incentives, policies, and constraints on resources they can afford. This fragmentation limits the ability of edge computing to guarantee to applications and data the edge which will deliver the desired benefit. In this paper, we present our vision for an Edge Exchange, a decentralized directory service for a multi-stakeholder edge, as a path forward to enabling applications to be deployed across the best available edge resources, while still providing each stakeholder with controls regarding their resource use and sharing policies.","","978-1-7281-0218-4","10.1109/IC2E.2019.00030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8790194","edge computing;edge exchange;decentralization;performance;serverless;cloud;orchestration;distributed system","Edge computing;Stakeholders;Poles and towers;Servers;Peer-to-peer computing;Software;Data privacy","","7","","84","IEEE","8 Aug 2019","","","IEEE","IEEE Conferences"
"Fine-Grained Heterogeneous Execution Framework with Energy Aware Scheduling","G. Rattihalli; N. Hogade; A. Dhakal; E. Frachtenberg; R. P. Hong Enriquez; P. Bruel; A. Mishra; D. Milojicic","Hewlett Packard Labs, Milpitas, CA, United States; Hewlett Packard Labs, Milpitas, CA, United States; Hewlett Packard Labs, Milpitas, CA, United States; Hewlett Packard Labs, Portland, OR, United States; Hewlett Packard Labs, Oxford, United Kingdom; Hewlett Packard Labs, Milpitas, CA, United States; Hewlett Packard Labs, New Jersey, NJ, United States; Hewlett Packard Labs, Milpitas, CA, United States",2023 IEEE 16th International Conference on Cloud Computing (CLOUD),"25 Sep 2023","2023","","","35","44","The growing convergence of high-performance, data analytics, and machine-learning applications is increasingly pushing computing systems toward heterogeneous processors and specialized hardware accelerators. Hardware heterogeneity, in turn, leads to finer-grained workflows. State-of-the-art server-less computing resource managers do not currently provide efficient scheduling of such fine-grained tasks on systems with heterogeneous CPUs and specialized hardware accelerators (e.g., GPUs and FPGAs). Working with fine-grained tasks presents an opportunity for more efficient energy use via new scheduling models. Our proposed scheduler enables technologies like Nvidia's Multi-Process Service (MPS) to pack multiple fine-grained tasks on GPUs efficiently. Its advantages include better co-location of jobs and better sharing of hardware resources such as GPUs that were not previously possible on container orchestration systems. We propose a Kubernetes-native energy-aware scheduler that integrates with our heterogeneous framework. Combining fine-grained resource scheduling on heterogeneous hardware and energy-aware scheduling results in up to 17.6% improvement in makespan, up to 20.16% reduction in energy consumption for CPU workloads, and up to 58.15% improvement in makespan, and up to 28.92% reduction in energy consumption for GPU workloads.","2159-6190","979-8-3503-0481-7","10.1109/CLOUD60044.2023.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10254957","Energy-awareness;Heterogeneity;Serverless;Framework;Scheduler;Fine-granularity","Energy consumption;Cloud computing;Schedules;Data analysis;Processor scheduling;Graphics processing units;Machine learning","","5","","45","IEEE","25 Sep 2023","","","IEEE","IEEE Conferences"
"A Cloud-based Architecture using Micro-services for the IoT-based Applications","Y. Jangir; R. Kumar; N. S. U; M. Mahajan; V. Naik","BITS Pilani, Goa, India; BITS Pilani, Goa, India; BITS Pilani, Goa, India; BITS Pilani, Goa, India; BITS Pilani, Goa, India","2022 22nd IEEE International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","19 Jul 2022","2022","","","893","898","The IoT solutions are typically customized for particular sensors. Further, these solutions demand compute, storage, and network resources, which have different scales of scalability. An increase in the demand for IoT-based applications makes it difficult for developers to build extensible and scalable IoT applications. The core idea of the paper is to propose an architecture that can be scaled up and down depending on the needs. In our architecture, each service in the cloud can be modified independently and adapted for a different type and number of IoT sensors. We implement the proposed architecture on Amazon Web Services (AWS), a cloud offering from Amazon. We measure the effectiveness of scaling up and down in terms of the number of IoT devices and mobile clients that process data from the IoT devices.","","978-1-6654-9956-9","10.1109/CCGrid54584.2022.00107","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9826080","Serverless Infrastructure;Cloud Computing;Scalable Architecture;Internet of Things (IoT)","Performance evaluation;Cloud computing;Costs;Codes;Scalability;Computer architecture;Sensors","","2","","10","IEEE","19 Jul 2022","","","IEEE","IEEE Conferences"
"SAPPARCHI: an Osmotic Platform to Execute Scalable Applications on Smart City Environments","A. Souza; N. Cacho; T. Batista; R. Ranjan","Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Newcastle University, Newcastle upon Tyne, UK",2022 IEEE 15th International Conference on Cloud Computing (CLOUD),"24 Aug 2022","2022","","","289","298","In the Smart Cities context, a plethora of Middle-ware Platforms had been proposed to support applications execution and data processing. Despite all the progress already made, the vast majority of solutions have not met the requirements of Applications’ Runtime, Development, and Deployment when related to Scalability. Some studies point out that just 1 of 97 (1%) reported platforms reach this all this set of requirements at same time. This small number of platforms may be explained by some reasons: i) Big Data: The huge amount of processed and stored data with various data sources and data types, ii) Multi-domains: many domains involved (Economy, Traffic, Health, Security, Agronomy, etc.), iii) Multiple processing methods like Data Flow, Batch Processing, Services, and Microservices, and 4) High Distributed Degree: The use of multiple IoT and BigData tools combined with execution at various computational levels (Edge, Fog, Cloud) leads applications to present a high level of distribution. Aware of those great challenges, we propose Sapparchi, an integrated architectural model for Smart Cities applications that defines multi-processing levels (Edge, Fog, and Cloud). Also, it presents the Sapparchi middleware platform for developing, deploying, and running applications in the smart city environment with an osmotic multi-processing approach that scales applications from Cloud to Edge. Finally, an experimental evaluation exposes the main advantages of adopting Sapparchi.","2159-6190","978-1-6654-8137-3","10.1109/CLOUD55607.2022.00051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9860412","osmotic computing;serverless;microservice;scalability","Cloud computing;Runtime;Smart cities;Scalability;Computational modeling;Soft sensors;Distributed databases","","2","","31","IEEE","24 Aug 2022","","","IEEE","IEEE Conferences"
"SandPiper: A Cost-Efficient Adaptive Framework for Online Recommender Systems","P. Thinakaran; K. Mahadik; J. Gunasekaran; M. Taylan Kandemir; C. R. Das",The Pennsylvania State University; Adobe Research; Adobe Research; The Pennsylvania State University; The Pennsylvania State University,2022 IEEE International Conference on Big Data (Big Data),"26 Jan 2023","2022","","","423","430","Online recommender systems have proven to have ubiquitous applications in various domains. To provide accurate recommendations in real time it is imperative to constantly train and deploy models with the latest data samples. This retraining involves adjusting the model weights by incorporating newly-arrived streaming data into the model to bridge the accuracy gap. To provision resources for the retraining, typically the compute is hosted on VMs, however, due to the dynamic nature of the data arrival patterns, stateless functions would be an ideal alternative over VMs, as they can instantaneously scale on demand. However, it is non-trivial to statically configure the stateless functions because the model retraining exhibits varying resource needs during different phases of retraining. Therefore, it is crucial to dynamically configure the functions to meet the resource requirements, while bridging the accuracy gap. In this paper, we propose Sandpiper, an adaptive framework that leverages stateless functions to deliver accurate predictions at low cost for online recommender systems. The three main ideas in Sandpiper are (i) we design a data-drift monitor that automatically triggers model retraining at required time intervals to bridge the accuracy gap due to incoming data drifts; (ii) we develop an online configuration model that selects the appropriate function configurations while maintaining the model serving accuracy within the latency and cost budget; and (iii) we propose a dynamic synchronization policy for stateless functions to speed up the distributed model retraining leading to cloud cost minimization. A prototype implementation on AWS shows that Sandpiper maintains the average accuracy above 90%, while 3.8× less expensive than the traditional VM-based schemes.","","978-1-6654-8045-1","10.1109/BigData55660.2022.10020465","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10020465","Serverless;Systems-for-ML;Continual Learning","Bridges;Cloud computing;Adaptation models;Costs;Adaptive systems;Computational modeling;Big Data","","1","","28","IEEE","26 Jan 2023","","","IEEE","IEEE Conferences"
"Egeon: Software-Defined Data Protection for Object Storage","R. Saiz-Laudo; M. Sánchez-Artigas","Computer Science and Maths, Universitat Rovira i Virgili, Tarragona, Catalonia, Spain; Computer Science and Maths, Universitat Rovira i Virgili, Tarragona, Catalonia, Spain","2022 22nd IEEE International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","19 Jul 2022","2022","","","99","108","With the growth in popularity of cloud computing, object storage systems (e.g., Amazon S3, OpenStack Swift, Ceph) have gained momentum for their relatively low per-G B costs and high availability. However, as increasingly more sensitive data is being accrued, the need to natively integrate privacy controls into the storage is growing in relevance. Today, due to the poor object storage interface, privacy controls are enforced by data curators with full access to data in the clear. This motivates the need for a new approach to data privacy that can provide strong assurance and control to data owners. To fulfill this need, this paper presents Egeon, a novel software-defined data protection framework for object storage. Egeon enables users to declaratively set privacy policies on how their data can be shared. In the privacy policies, the users can build complex data protection services through the composition of data transformations, which are invoked inline by Egeon upon a read request. As a result, data owners can trivially display multiple views from the same data piece, and modify these views by only updating the policies. And all without restructuring the internals of the underlying object storage system. The Egeon prototype has been built atop OpenStack Swift. Evaluation results shows promise in developing data protection services with little overhead directly into the object store. Further, depending on the amount of data filtered out in the transformed views, end-to-end latency can be low due to the savings in network communication.","","978-1-6654-9956-9","10.1109/CCGrid54584.2022.00019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9825981","object storage;software-defined;serverless;data privacy","Cloud computing;Costs;Data protection;Prototypes","","","","45","IEEE","19 Jul 2022","","","IEEE","IEEE Conferences"
"Distributed On-Demand Deployment for Transparent Access to 5G Edge Computing Services","J. Hammer; H. Hellwagner","Institute of Information Technology, Alpen-Adria-Universität Klagenfurt, Austria; Institute of Information Technology, Alpen-Adria-Universität Klagenfurt, Austria",2023 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),"4 Aug 2023","2023","","","777","784","Multi-access Edge Computing (MEC) is a central piece of 5G telecommunication systems and is essential to satisfy the challenging low-latency demands of future applications. MEC provides a cloud computing platform at the edge of the radio access network. Our previous publications argue that edge computing should be transparent to clients, leveraging Software-Defined Networking (SDN). While we introduced a solution to implement such a transparent approach, one question remained: How to handle user requests to a service that is not yet running in a nearby edge cluster? One advantage of the transparent edge is that one could process the initial request in the cloud. However, this paper argues that on-demand deployment might be fast enough for many services, even for the first request. We present an SDN controller that automatically deploys an application container in a nearby edge cluster if no instance is running yet. In the meantime, the user’s request is forwarded to another (nearby) edge cluster or kept waiting to be forwarded immediately to the newly instantiated instance. Our performance evaluations on a real edge/fog testbed show that the waiting time for the initial request – e.g., for annginx-based service – can be as low as 0.5 seconds – satisfactory for many applications.","","979-8-3503-1199-0","10.1109/IPDPSW59300.2023.00130","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10196625","Multi-Access Edge Computing;MEC;Fog Computing;Software-Defined Networking;SDN;Serverless Computing;Container;Docker;Kubernetes","Performance evaluation;Cloud computing;Multi-access edge computing;5G mobile communication;Conferences;Containers;Software defined networking","","","","30","IEEE","4 Aug 2023","","","IEEE","IEEE Conferences"
"Pilot-Edge: Distributed Resource Management Along the Edge-to-Cloud Continuum","A. Luckow; K. Rattan; S. Jha","RADICAL, ECE, Rutgers University, Piscataway, NJ, USA; RADICAL, ECE, Rutgers University, Piscataway, NJ, USA; Brookhaven National Laboratory, Upton, NY, USA",2021 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),"24 Jun 2021","2021","","","874","878","Many science and industry IoT applications necessitate data processing across the edge-to-cloud continuum to meet performance, security, cost, and privacy requirements. However, diverse abstractions and infrastructures for managing resources and tasks across the edge-to-cloud scenario are required. We propose Pilot-Edge as a common abstraction for resource management across the edge-to-cloud continuum. Pilot-Edge is based on the pilot abstraction, which decouples resource and workload management, and provides a Function-as-a-Service (FaaS) interface for application-level tasks. The abstraction allows applications to encapsulate common functions in high-level tasks that can then be configured and deployed across the continuum. We characterize Pilot-Edge on geographically distributed infrastructures using machine learning workloads (e. g., k-means and auto-encoders). Our experiments demonstrate how Pilot-Edge manages distributed resources and allows applications to evaluate task placement based on multiple factors (e. g., model complexities, throughput, and latency).","","978-1-6654-3577-2","10.1109/IPDPSW52791.2021.00130","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9460584","Edge;cloud;IoT;abstractions;machine learning","Industries;Distributed processing;Machine learning;FAA;Throughput;Data processing;Resource management","","14","","27","IEEE","24 Jun 2021","","","IEEE","IEEE Conferences"
"A Distributed Peer to Peer Identity and Access Management for the Osmotic Computing","C. Sicari; A. Catalfamo; A. Galletta; M. Villari","MIFT Department, University of Messina, Messina, Italy; MIFT Department, University of Messina, Messina, Italy; MIFT Department, University of Messina, Messina, Italy; MIFT Department, University of Messina, Messina, Italy","2022 22nd IEEE International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","19 Jul 2022","2022","","","775","781","Nowadays Osmotic Computing is emerging as one of the paradigms used to guarantee the Cloud Continuum, and this popularity is strictly related to the capacity to embrace inside it some hot topics like containers, microservices, orchestration and Function as a Service (FaaS). The Osmotic principle is quite simple, it aims to create a federated heterogeneous infrastructure, where an application's components can smoothly move following a concentration rule. In this work, we aim to solve two big constraints of Osmotic Computing related to the incapacity to manage dynamic access rules for accessing the applications inside the Osmotic Infrastructure and the incapacity to keep alive and secure the access to these applications even in presence of network disconnections. For overcoming these limits we designed and implemented a new Osmotic component, that acts as an eventually consistent distributed peer to peer access management system. This new component is used to keep a local Identity and Access Manager (IAM) that permits at any time to access the resource available in an Osmotic node and to update the access rules that allow or deny access to hosted applications. This component has been already integrated inside a Kubernetes based Osmotic Infrastructure and we presented two typical use cases where it can be exploited.","","978-1-6654-9956-9","10.1109/CCGrid54584.2022.00091","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9825999","osmotic computing;security;identity and access control;smart city","Cloud computing;Urban areas;Microservice architectures;FAA;Containers;Peer-to-peer computing","","2","","18","IEEE","19 Jul 2022","","","IEEE","IEEE Conferences"
"UniFaaS: Programming across Distributed Cyberinfrastructure with Federated Function Serving","Y. Li; R. Chard; Y. Babuji; K. Chard; I. Foster; Z. Li","Dept. of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, China; Data Science and Learning Division, Argonne National Laboratory, Lemont, IL, USA; Dept. of Computer Science, University of Chicago, Chicago, IL, USA; Dept. of Computer Science, University of Chicago, Chicago, IL, USA; Data Science and Learning Division, Argonne National Laboratory, Lemont, IL, USA; Dept. of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, China",2024 IEEE International Parallel and Distributed Processing Symposium (IPDPS),"8 Jul 2024","2024","","","217","229","Modern scientific applications are increasingly decomposable into individual functions that may be deployed across distributed and diverse cyberinfrastructure such as supercomputers, clouds, and accelerators. Such applications call for new approaches to programming, distributed execution, and function-level management. We present UniFaaS, a parallel programming framework that relies on a federated function-as-a-service (FaaS) model to enable composition of distributed, scalable, and high-performance scientific workflows, and to support fine-grained function-level management. UniFaaS provides a unified programming interface to compose dynamic task graphs with transparent wide-area data management. UniFaaS exploits an observe-predict-decide approach to efficiently map workflow tasks to target heterogeneous and dynamic resources. We propose a dynamic heterogeneity-aware scheduling algorithm that employs a delay mechanism and a re-scheduling mechanism to accommodate dynamic resource capacity. Our experiments show that UniFaaS can efficiently execute workflows across computing resources with minimal scheduling overhead. We show that UniFaaS can improve the performance of a real-world drug screening workflow by as much as 22.99% when employing an additional 19.48% of resources and a montage workflow by 54.41% when employing an additional 47.83% of resources across multiple distributed clusters, in contrast to using a single cluster.","1530-2075","979-8-3503-8711-7","10.1109/IPDPS57955.2024.00027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10579158","federated cyberinfrastructure;federated function serving","Scheduling algorithms;Parallel programming;Heuristic algorithms;Parallel processing;Elasticity;Dynamic scheduling;Supercomputers","","1","","61","IEEE","8 Jul 2024","","","IEEE","IEEE Conferences"
"OpenDC 2.0: Convenient Modeling and Simulation of Emerging Technologies in Cloud Datacenters","F. Mastenbroek; G. Andreadis; S. Jounaid; W. Lai; J. Burley; J. Bosch; E. van Eyk; L. Versluis; V. van Beek; A. Iosup","TU Delft, the Netherlands; Solvinity, the Netherlands; VU Amsterdam, the Netherlands; VU Amsterdam, the Netherlands; VU Amsterdam, the Netherlands; VU Amsterdam, the Netherlands; VU Amsterdam, the Netherlands; VU Amsterdam, the Netherlands; Solvinity, the Netherlands; VU Amsterdam, the Netherlands","2021 IEEE/ACM 21st International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","2 Aug 2021","2021","","","455","464","Cloud datacenters are important for the digital society, serving stakeholders across industry, government, and academia. Simulation is a critical part of exploring datacenter technologies, enabling scalable experimentation with millions of jobs and hundreds of thousands of machines, and what-if analysis in a matter of minutes to hours. Although the community has already developed powerful simulators, emerging technologies and applications in modern datacenters require new approaches. Addressing this requirement, in this work we propose OpenDC, a new platform for datacenter simulation. OpenDC includes novel models for emerging cloud-datacenter technologies and applications, such as serverless computing with FaaS deployment and TensorFlow-based machine learning. Our design also focuses on convenience, with a web-based interface for interactive experimentation, support for experiment automation, a library of prefabs for constructing and sharing datacenter designs, and support for diverse input formats and output metrics. We implement, validate, and open-source OpenDC 2.0, a significant redesign and release after a multi-year research and development process. We demonstrate the benefits of OpenDC for the field through a set of representative use-cases: serverless, machine learning, procurement of HPC-as-a-Service infrastructure, educational practices, and reproducibility studies. Overall, OpenDC helps understand how datacenters work, design datacenter infrastructure, and train the next generation of experts.","","978-1-7281-9586-5","10.1109/CCGrid51090.2021.00055","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9499454","OpenDC;datacenter;simulation;modeling;usecases;experimentation;performance analysis","Procurement;Cloud computing;Analytical models;Computational modeling;Machine learning;Reproducibility of results;Stakeholders","","20","","55","IEEE","2 Aug 2021","","","IEEE","IEEE Conferences"
"FedSmarteum: Secure Federated Matrix Factorization Using Smart Contracts for Multi-Cloud Supply Chain","S. Bhagavan; M. Gharibi; P. Rao","IBM Corporation, University of Missouri-Kansas, City Kansas City, MO, USA; IBM Corporation, San Jose, CA, USA; University of Missouri-Columbia, Columbia, MO, USA",2021 IEEE International Conference on Big Data (Big Data),"13 Jan 2022","2021","","","4054","4063","With increased awareness comes unprecedented expectations. We live in a digital, cloud era wherein the underlying information architectures are expected to be elastic, secure, resilient, and handle petabyte scaling. The expectation of epic proportions from the next generation of the data frameworks is to not only do all of the above but also build it on a foundation of trust and explainability across multi-organization business networks. From cloud providers to automobile industries or even vaccine manufacturers, components are often sourced by a complex, not full digitized thread of disjoint suppliers. Building Machine Learning and AI-based order fulfillment and predictive models, remediating issues, is a challenge for multi-organization supply chain automation. We posit that Federated Learning in conjunction with blockchain and smart contracts are technologies primed to tackle data privacy and centralization challenges. In this paper, motivated by challenges in the industry, we propose a decentralized distributed system in conjunction with a recommendation system model (Matrix Factorization) that is trained using Federated Learning on an Ethereum blockchain network. We leverage smart contracts that allow decentralized serverless aggregation to update local-ized items vectors. Furthermore, we utilize Homomorphic Encryption (HE) to allow sharing the encrypted gradients over the network while maintaining their privacy. Based on our results, we argue that training a model over a serverless Blockchain network using smart contracts will provide the same accuracy as in a centralized model while maintaining our serverless model privacy and reducing the overhead communication to a central server. Finally, we assert such a system that provides transparency, audit-ready and deep insights into supply chain operations for enterprise cloud customers resulting in cost savings and higher Quality of Service (QoS).","","978-1-6654-3902-2","10.1109/BigData52589.2021.9671789","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671789","","Industries;Training;Privacy;Smart contracts;Supply chains;Quality of service;Big Data","","4","","29","IEEE","13 Jan 2022","","","IEEE","IEEE Conferences"
"Recycle.io: An IoT-Enabled Framework for Urban Waste Management","E. Al-Masri; I. Diabate; R. Jain; M. H. Lam; S. Reddy Nathala","School of Engineering and Technology, University of Washington, Tacoma, USA; School of Engineering and Technology, University of Washington, Tacoma, USA; School of Engineering and Technology, University of Washington, Tacoma, USA; School of Engineering and Technology, University of Washington, Tacoma, USA; School of Engineering and Technology, University of Washington, Tacoma, USA",2018 IEEE International Conference on Big Data (Big Data),"24 Jan 2019","2018","","","5285","5287","Addressing environmentally safe management of waste is becoming increasingly a challenging task. The predicament of the rate at which waste is generated due to increasing populations is also contributing to this challenge. One possible approach for effectively handling waste can be achieved by source reduction and recycling. The problem, however, improving the collection of waste can be costly particularly during the source separation process after waste is collected. It would be desirable if there exists a mechanism that can help municipalities, local governments or waste management companies to monitor in real-time sources of violations prior to the waste collection process. In this paper, we introduce recycle.io, an Internet of Things (IoT)-enabled waste management system that is based on a serverless architecture that can identify these sources of violations. Using recycle.io, it is then possible to track the violations geographically which can help local governments, for example, to improve or enforce tighter regulations for waste disposal. Our recycle.io system uses Microsoft Azure IoT Hub for device management. Throughout the paper, we demonstrate usefulness of using our approach for urban waste management in smart cities.","","978-1-5386-5035-6","10.1109/BigData.2018.8622117","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622117","IoT devices;IoT gateways;waste management;industrial internet of things;IIoT;garbage collection;smart bin;smart garbage;smart city","Image edge detection;Waste management;Real-time systems;Cloud computing;Sensors;Edge computing;Hardware","","38","","6","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"AutoDECK: Automated Declarative Performance Evaluation and Tuning Framework on Kubernetes","S. Choochotkaew; T. Chiba; S. Trent; T. Yoshimura; M. Amaral","IBM Research, Tokyo, Japan; IBM Research, Tokyo, Japan; IBM Research, Tokyo, Japan; IBM Research, Tokyo, Japan; IBM Research, Tokyo, Japan",2022 IEEE 15th International Conference on Cloud Computing (CLOUD),"24 Aug 2022","2022","","","309","314","Containerization and application variety bring many challenges in automating evaluations for performance tuning and comparison among infrastructure choices. Due to the tightly-coupled design of benchmarks and evaluation tools, the present automated tools on Kubernetes are limited to trivial microbenchmarks and cannot be extended to complex cloudnative architectures such as microservices and serverless, which are usually managed by customized operators for setting up workload dependencies. In this paper, we propose AutoDECK, a performance evaluation framework with a fully declarative manner. The proposed framework automates configuring, deploying, evaluating, summarizing, and visualizing the benchmarking workload. It seamlessly integrates mature Kubernetes-native systems and extends multiple functionalities such as tracking the image-build pipeline, and auto-tuning. We present five use cases of evaluations and analysis through various kinds of bench-marks including microbenchmarks and HPC/AI benchmarks. The evaluation results can also differentiate characteristics such as resource usage behavior and parallelism effectiveness between different clusters. Furthermore, the results demonstrate the benefit of integrating an auto-tuning feature in the proposed framework, as shown by the 10% transferred memory bytes in the Sysbench benchmark.","2159-6190","978-1-6654-8137-3","10.1109/CLOUD55607.2022.00053","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9860408","","Performance evaluation;Visualization;Cloud computing;Pipelines;Benchmark testing;Parallel processing;Artificial intelligence","","1","","19","IEEE","24 Aug 2022","","","IEEE","IEEE Conferences"
"ScaDL 2022 Invited Talk 2: AI/ML Pipelines using CodeFlare","M. Srivatsa","IBM Research, USA",2022 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),"1 Aug 2022","2022","","","1040","1040","Pipelines have become a ubiquitous construct in machine learning spanning tasks ranging from data cleaning and preprocessing, training foundational models, model optimization and transfer learning and low latency inferencing. While the many pipeline construct has existed for many years (e.g., SciKit learn pipelines, Spark pipelines), this talk will focus on a process calculus style definition of pipeline - called CodeFlare pipelines - that makes it readily amenable to scaling complex AI/ML workflows on a commodity cluster. CodeFlare pipelines not only enable data scientists to introduce compute, data and multi-stage parallelism using simple annotations on the pipeline graph, but also operationalize them on a hybrid cloud platform (Red Hat OpenShift), thereby making the solution deployable just about anywhere and leverage the benefits of serverless computing. This talk will cover a basic realization of CodeFlare pipelines on the Ray platform (1.7.0 release) that has shown near linear scalability for transfer learning and inferencing on foundational models.","","978-1-6654-9747-3","10.1109/IPDPSW55747.2022.00167","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9835358","","Pipelines;Transfer learning;Distributed processing;Data models;Conferences;Urban areas;Training","","","","","IEEE","1 Aug 2022","","","IEEE","IEEE Conferences"
